pid,event,time,time2,num_age,fac_fin,fac_race,fac_wexp,fac_mar,fac_paro,fac_prio,fac_educ,fac_emp
1,1,0,20,27,no,black,no,not married,yes,3,3,0
2,0,0,9,18,no,black,no,not married,yes,8,4,0
2,0,9,14,18,no,black,no,not married,yes,8,4,1
2,1,14,17,18,no,black,no,not married,yes,8,4,0
3,0,0,16,19,no,other,yes,not married,yes,13,3,0
3,0,16,17,19,no,other,yes,not married,yes,13,3,1
3,1,17,25,19,no,other,yes,not married,yes,13,3,0
4,0,0,4,23,yes,black,yes,married,yes,1,5,0
4,0,4,21,23,yes,black,yes,married,yes,1,5,1
4,0,21,31,23,yes,black,yes,married,yes,1,5,0
4,0,31,52,23,yes,black,yes,married,yes,1,5,1
5,0,0,9,19,no,other,yes,not married,yes,3,3,0
5,0,9,34,19,no,other,yes,not married,yes,3,3,1
5,0,34,52,19,no,other,yes,not married,yes,3,3,0
6,0,0,4,24,no,black,yes,not married,no,2,4,0
6,0,4,10,24,no,black,yes,not married,no,2,4,1
6,0,10,22,24,no,black,yes,not married,no,2,4,0
6,0,22,29,24,no,black,yes,not married,no,2,4,1
6,0,29,52,24,no,black,yes,not married,no,2,4,0
7,0,0,22,25,no,black,yes,married,yes,0,4,1
7,1,22,23,25,no,black,yes,married,yes,0,4,0
8,0,0,19,21,yes,black,yes,not married,yes,4,3,0
8,0,19,21,21,yes,black,yes,not married,yes,4,3,1
8,0,21,23,21,yes,black,yes,not married,yes,4,3,0
8,0,23,25,21,yes,black,yes,not married,yes,4,3,1
8,0,25,52,21,yes,black,yes,not married,yes,4,3,0
9,0,0,15,22,no,black,no,not married,no,6,3,0
9,0,15,22,22,no,black,no,not married,no,6,3,1
9,0,22,37,22,no,black,no,not married,no,6,3,0
9,0,37,52,22,no,black,no,not married,no,6,3,1
10,0,0,1,20,no,black,yes,not married,no,0,5,0
10,0,1,5,20,no,black,yes,not married,no,0,5,1
10,0,5,52,20,no,black,yes,not married,no,0,5,0
11,0,0,8,26,yes,black,no,not married,yes,3,3,0
11,0,8,18,26,yes,black,no,not married,yes,3,3,1
11,0,18,44,26,yes,black,no,not married,yes,3,3,0
11,0,44,52,26,yes,black,no,not married,yes,3,3,1
12,0,0,4,40,no,black,yes,not married,no,2,5,0
12,0,4,52,40,no,black,yes,not married,no,2,5,1
13,0,0,27,17,no,black,yes,not married,yes,5,3,0
13,0,27,29,17,no,black,yes,not married,yes,5,3,1
13,1,29,37,17,no,black,yes,not married,yes,5,3,0
14,0,0,18,37,no,black,yes,not married,no,2,3,0
14,0,18,52,37,no,black,yes,not married,no,2,3,1
15,0,0,14,20,no,black,no,not married,yes,3,4,0
15,0,14,23,20,no,black,no,not married,yes,3,4,1
15,1,23,25,20,no,black,no,not married,yes,3,4,0
16,0,0,1,22,yes,black,yes,not married,yes,2,3,0
16,0,1,45,22,yes,black,yes,not married,yes,2,3,1
16,1,45,46,22,yes,black,yes,not married,yes,2,3,0
17,0,0,13,19,no,black,no,not married,no,7,3,0
17,0,13,18,19,no,black,no,not married,no,7,3,1
17,1,18,28,19,no,black,no,not married,no,7,3,0
18,0,0,14,20,no,black,no,not married,no,2,3,0
18,0,14,33,20,no,black,no,not married,no,2,3,1
18,0,33,52,20,no,black,no,not married,no,2,3,0
19,0,0,11,25,no,black,no,not married,yes,12,3,0
19,0,11,22,25,no,black,no,not married,yes,12,3,1
19,0,22,31,25,no,black,no,not married,yes,12,3,0
19,0,31,52,25,no,black,no,not married,yes,12,3,1
20,0,0,1,24,no,other,yes,not married,yes,1,3,0
20,0,1,3,24,no,other,yes,not married,yes,1,3,1
20,0,3,8,24,no,other,yes,not married,yes,1,3,0
20,0,8,14,24,no,other,yes,not married,yes,1,3,1
20,0,14,17,24,no,other,yes,not married,yes,1,3,0
20,0,17,28,24,no,other,yes,not married,yes,1,3,1
20,0,28,52,24,no,other,yes,not married,yes,1,3,0
21,0,0,30,23,no,black,no,not married,yes,4,3,0
21,0,30,33,23,no,black,no,not married,yes,4,3,1
21,0,33,51,23,no,black,no,not married,yes,4,3,0
21,0,51,52,23,no,black,no,not married,yes,4,3,1
22,0,0,1,44,yes,black,yes,married,yes,0,3,0
22,0,1,52,44,yes,black,yes,married,yes,0,3,1
23,1,0,24,29,yes,black,yes,not married,yes,2,4,0
24,0,0,3,28,yes,other,yes,not married,yes,1,3,1
24,0,3,5,28,yes,other,yes,not married,yes,1,3,0
24,0,5,29,28,yes,other,yes,not married,yes,1,3,1
24,0,29,41,28,yes,other,yes,not married,yes,1,3,0
24,0,41,52,28,yes,other,yes,not married,yes,1,3,1
25,0,0,17,21,yes,black,yes,not married,no,0,4,0
25,0,17,18,21,yes,black,yes,not married,no,0,4,1
25,0,18,21,21,yes,black,yes,not married,no,0,4,0
25,0,21,22,21,yes,black,yes,not married,no,0,4,1
25,0,22,25,21,yes,black,yes,not married,no,0,4,0
25,0,25,38,21,yes,black,yes,not married,no,0,4,1
25,0,38,52,21,yes,black,yes,not married,no,0,4,0
26,0,0,4,19,yes,black,yes,not married,yes,2,3,0
26,0,4,7,19,yes,black,yes,not married,yes,2,3,1
26,0,7,17,19,yes,black,yes,not married,yes,2,3,0
26,0,17,52,19,yes,black,yes,not married,yes,2,3,1
27,0,0,2,33,no,black,yes,not married,yes,1,4,0
27,0,2,52,33,no,black,yes,not married,yes,1,4,1
28,0,0,52,19,no,black,no,not married,no,2,3,0
29,0,0,17,19,yes,black,no,not married,yes,3,3,1
29,0,17,35,19,yes,black,no,not married,yes,3,3,0
29,0,35,52,19,yes,black,no,not married,yes,3,3,1
30,0,0,34,23,yes,black,yes,married,yes,9,3,1
30,0,34,40,23,yes,black,yes,married,yes,9,3,0
30,0,40,52,23,yes,black,yes,married,yes,9,3,1
31,0,0,7,23,yes,black,no,not married,yes,3,5,0
31,0,7,15,23,yes,black,no,not married,yes,3,5,1
31,0,15,52,23,yes,black,no,not married,yes,3,5,0
32,0,0,1,19,yes,black,no,not married,yes,1,3,0
32,0,1,52,19,yes,black,no,not married,yes,1,3,1
33,0,0,2,42,yes,black,yes,not married,no,0,5,0
33,0,2,6,42,yes,black,yes,not married,no,0,5,1
